SPI,meta_ROI_from,meta_ROI_to,value,Data_Type,Noise,sim_num,sim_context
bary-sq_softdtw_max_time,V1_V2,Category_Selective,303.0,Raw,1,2,IIT_stim_off
bary-sq_softdtw_max_time,Category_Selective,V1_V2,303.0,Raw,1,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,5.526366450678946,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,5.526366450678946,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,4.0,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,4.0,Abs,1,2,IIT_stim_off
bary-sq_dtw_max,V1_V2,Category_Selective,10.178623183136066,Abs,1,2,IIT_stim_off
bary-sq_dtw_max,Category_Selective,V1_V2,10.178623183136066,Abs,1,2,IIT_stim_off
bary-sq_dtw_max_time,V1_V2,Category_Selective,231.0,Abs,1,2,IIT_stim_off
bary-sq_dtw_max_time,Category_Selective,V1_V2,231.0,Abs,1,2,IIT_stim_off
bary-sq_sgddtw_max,V1_V2,Category_Selective,6.484932655428464,Abs,1,2,IIT_stim_off
bary-sq_sgddtw_max,Category_Selective,V1_V2,6.484932655428464,Abs,1,2,IIT_stim_off
bary-sq_sgddtw_max_time,V1_V2,Category_Selective,231.0,Abs,1,2,IIT_stim_off
bary-sq_sgddtw_max_time,Category_Selective,V1_V2,231.0,Abs,1,2,IIT_stim_off
bary-sq_softdtw_max,V1_V2,Category_Selective,7.898120429350737,Abs,1,2,IIT_stim_off
bary-sq_softdtw_max,Category_Selective,V1_V2,7.898120429350737,Abs,1,2,IIT_stim_off
bary-sq_softdtw_max_time,V1_V2,Category_Selective,309.0,Abs,1,2,IIT_stim_off
bary-sq_softdtw_max_time,Category_Selective,V1_V2,309.0,Abs,1,2,IIT_stim_off
bary-sq_euclidean_max,V1_V2,Category_Selective,7.794946017072629,Raw,1,3,IIT_stim_off
bary-sq_euclidean_max,Category_Selective,V1_V2,7.794946017072629,Raw,1,3,IIT_stim_off
bary-sq_euclidean_max_time,V1_V2,Category_Selective,340.0,Raw,1,3,IIT_stim_off
bary-sq_euclidean_max_time,Category_Selective,V1_V2,340.0,Raw,1,3,IIT_stim_off
bary-sq_dtw_max,V1_V2,Category_Selective,10.893879837265798,Raw,1,3,IIT_stim_off
