stimulus_type,relevance_type,duration,times,Category_Selective,IPS,Prefrontal_Cortex,V1_V2
object,Relevant non-target,1000ms,-0.39,0.05841239819552056,0.048964231680728915,-0.007643464612017967,-0.008430328914809014
object,Relevant non-target,1000ms,-0.389,0.037293324073989,0.031346819226694196,-0.028471298038267857,-0.01027927764401902
object,Relevant non-target,1000ms,-0.388,-0.006247526079339237,0.009177637648904042,-0.026908961515871056,0.002658040940194729
object,Relevant non-target,1000ms,-0.387,-0.02061802313041187,0.012828080707383482,-0.02223908987683054,0.005362170906912228
object,Relevant non-target,1000ms,-0.386,0.004932102478345322,0.015493063467204195,-0.008200678260755255,0.0036311605757771686
object,Relevant non-target,1000ms,-0.385,0.004440582130077487,0.011172883652718431,0.0006687602567505005,0.009630406249174597
object,Relevant non-target,1000ms,-0.384,-0.011108317756771086,0.028149522154805855,-0.007509201966425906,0.0032796791462019366
object,Relevant non-target,1000ms,-0.383,0.01480776206679389,0.03976142136339045,0.002534740246197776,-0.0030320198682094383
object,Relevant non-target,1000ms,-0.382,0.01893688955311233,0.03618318600323897,0.001263631648943657,0.012933828613310707
object,Relevant non-target,1000ms,-0.381,-0.015920913296215713,0.020922052708593993,-0.020088307652329846,0.014669647022306045
object,Relevant non-target,1000ms,-0.38,0.0013952957950188502,0.01796833364792893,-0.015877406944734784,-0.0077114978739950485
object,Relevant non-target,1000ms,-0.379,0.031118702040340628,0.004780185063648895,-0.0020376907740532,-0.006486338762047586
object,Relevant non-target,1000ms,-0.378,0.004733970457208219,0.0036497309040299576,-0.005975408077407986,9.73529989750003e-05
object,Relevant non-target,1000ms,-0.377,-0.009976252372734596,0.04458385864346137,-0.022037483487902954,-0.00032726955094711734
object,Relevant non-target,1000ms,-0.376,-0.010436230572242964,0.03880366182013583,-0.009734233161881312,0.007241962123866189
object,Relevant non-target,1000ms,-0.375,-0.018171482178938502,0.007736012904535294,0.00888447915688696,-0.009379483242860302
object,Relevant non-target,1000ms,-0.374,-0.005988156900323457,0.01891836399039895,-0.0015610917373492543,-0.019403330087796822
object,Relevant non-target,1000ms,-0.373,0.0018155674732607513,0.015277715074838591,-0.012098853224264914,-0.0077915525945137605
object,Relevant non-target,1000ms,-0.372,0.0011356636992544194,0.02448800092625563,-0.005358939377223406,0.00018281123139676534
object,Relevant non-target,1000ms,-0.371,0.0027298640666491452,0.046947236135006766,0.012997002791966833,-0.004950833820967717
object,Relevant non-target,1000ms,-0.37,0.0055584038855704095,0.0391559803656253,0.009153990969196604,-0.01256136102042755
object,Relevant non-target,1000ms,-0.369,-0.004918942878176114,0.03116751243987321,0.0008891118911404281,-0.015868509590280532
object,Relevant non-target,1000ms,-0.368,-0.048346771490315466,0.029480114342786943,0.005994683446532013,-0.01356140753525924
object,Relevant non-target,1000ms,-0.367,-0.06331141755953794,0.018947257588955546,-0.004893417234943472,-0.013188246171516333
object,Relevant non-target,1000ms,-0.366,-0.03729100069683221,0.01896681886830203,-0.009278652795451531,-0.01157548371833794
object,Relevant non-target,1000ms,-0.365,-0.039572071999050974,0.027713735382000258,0.004084782531620209,-0.007419226479727632
object,Relevant non-target,1000ms,-0.364,-0.03823463970225103,0.021235472448509134,8.200585104443341e-06,-0.01565337398021548
object,Relevant non-target,1000ms,-0.363,0.00526195130795406,0.001033881389976338,-0.015241961528267981,-0.02523786712221374
object,Relevant non-target,1000ms,-0.362,0.004974866365413555,0.007322834354979116,-0.0018079143517266646,-0.02195024595516515
object,Relevant non-target,1000ms,-0.361,-0.02442743454851944,0.01342090672637414,0.017227029259229896,-0.016207029819404847
object,Relevant non-target,1000ms,-0.36,-0.02314607121580922,0.02551902285024558,0.008429956935782565,0.0004094520805305796
object,Relevant non-target,1000ms,-0.359,-0.004953202330155397,0.03026774906768022,-0.00500154937337025,0.009502726999009725
object,Relevant non-target,1000ms,-0.358,-0.03006490457006788,0.012732042506324108,-0.005313204109434113,0.008218309432747381
object,Relevant non-target,1000ms,-0.357,-0.04417680572432999,0.0020378348010757306,-0.0011447164219781853,0.007967632530420038
object,Relevant non-target,1000ms,-0.356,-0.023795263789609694,-0.003465849496892171,-0.006039228526426238,0.0047791164593880995
object,Relevant non-target,1000ms,-0.355,-0.016437356893735194,0.012909367705140357,-0.01055930062245693,-0.0023436317918091084
object,Relevant non-target,1000ms,-0.354,-0.0003997494014943305,0.017566916008169217,-0.001442278244483431,-0.009028874218803508
object,Relevant non-target,1000ms,-0.353,-0.022612398867583285,0.0035307208580498566,0.007064585542020397,0.009242951148404422
object,Relevant non-target,1000ms,-0.352,-0.04440932889497881,0.022646928911297368,-0.0007923384110771574,0.011496926536868166
object,Relevant non-target,1000ms,-0.351,-0.04727671012026718,0.023649924454534035,-0.007166992561870355,0.0003768637591781846
object,Relevant non-target,1000ms,-0.35,-0.04122514915929411,0.010301337628487768,0.0064350108302816305,0.00042454727573891987
object,Relevant non-target,1000ms,-0.349,-0.02349705512195515,0.02235427298054999,0.010454886074300949,-0.001585251907183383
object,Relevant non-target,1000ms,-0.348,-0.05219192798302868,0.02151648366436191,0.003794527572888386,0.00705021734127057
object,Relevant non-target,1000ms,-0.347,-0.05424667286459802,0.012160941710706835,-0.006154383852527327,0.011959797742652578
object,Relevant non-target,1000ms,-0.346,-0.02052085722900097,0.004377510682855712,-0.0022151904430685525,0.0024868924568057713
object,Relevant non-target,1000ms,-0.345,-0.0059404852625872685,0.011277801822120497,0.005535964354052811,-0.00018969457015257236
object,Relevant non-target,1000ms,-0.344,-0.017770985525155936,0.017170140066367745,0.01044759266293794,0.0003101917874916801
object,Relevant non-target,1000ms,-0.3429999999999999,-0.02447742522042362,0.018025647455920665,0.010439541499269055,0.0025946614474847878
object,Relevant non-target,1000ms,-0.3419999999999999,-0.016071478384667947,0.03871635166558251,0.008335185854603614,0.011664873949609493
object,Relevant non-target,1000ms,-0.3409999999999999,-0.012194054932914164,0.03035719477698234,0.008340493194919583,0.012185118067360886
object,Relevant non-target,1000ms,-0.3399999999999999,-0.0212178954717467,0.014340302552939782,-0.0020594764471669946,-0.0007388148185531944
object,Relevant non-target,1000ms,-0.3389999999999999,-0.016861551643006213,0.030529895614341745,-0.004940563541318551,-0.00518544463353153
object,Relevant non-target,1000ms,-0.3379999999999999,-0.02894149179156841,0.028244503905152814,-0.0006313505248778338,0.004019090516183947
object,Relevant non-target,1000ms,-0.3369999999999999,-0.03635279303142955,0.014287701022368426,-0.009424476642266054,0.017815201410855037
object,Relevant non-target,1000ms,-0.3359999999999999,-0.008674169673836142,0.017531960059867274,-0.02232408254518226,0.013527852505158894
object,Relevant non-target,1000ms,-0.3349999999999999,0.00048195826987280325,0.027445833286204147,-0.02157194802515083,-0.003415052982925909
object,Relevant non-target,1000ms,-0.3339999999999999,-0.015331682956387266,0.023094876490475747,-0.003152122772261231,0.010218434860850206
object,Relevant non-target,1000ms,-0.3329999999999999,-0.010221751597193737,0.02498643343411681,-0.008866976888092383,0.01567059068306545
object,Relevant non-target,1000ms,-0.3319999999999999,0.002883173403354407,0.03943166606685543,-0.015201137563802033,-0.0008909061147028932
object,Relevant non-target,1000ms,-0.3309999999999999,-0.0050457158836337045,0.014860646037742654,0.0072338584172694535,-0.003600168249011668
object,Relevant non-target,1000ms,-0.3299999999999999,-0.013329277587262751,0.014628355713514576,0.010426316817055097,0.004821195054765823
object,Relevant non-target,1000ms,-0.3289999999999999,-0.022835417716163313,0.03671545457195731,-0.01631052450871572,0.005682564422753743
object,Relevant non-target,1000ms,-0.3279999999999999,-0.023843283572789566,0.019377933973536987,-0.020030646410110656,0.005726581600248617
object,Relevant non-target,1000ms,-0.3269999999999999,-0.0013064380030772434,0.019460745747680853,0.004019639331666497,0.007010929517122145
object,Relevant non-target,1000ms,-0.3259999999999999,0.0051211130682429235,0.01844536193440716,0.0031602116818159995,0.008385632641725664
object,Relevant non-target,1000ms,-0.3249999999999999,0.005442207372726764,0.008546124044586979,-0.01740881773275119,-1.115589835012246e-05
object,Relevant non-target,1000ms,-0.324,0.006625002000532606,0.02410330183749155,-0.018651994498157763,-0.0030292201413285626
object,Relevant non-target,1000ms,-0.323,0.045393497601238585,0.015015420523157753,-0.009082628971699199,-0.009694060064419632
object,Relevant non-target,1000ms,-0.322,0.03245120396107324,0.009555124793375216,0.00519385542668092,-0.008376119166592083
object,Relevant non-target,1000ms,-0.321,-0.032049029115694856,0.007121630196693952,0.004694176766480735,0.009071472851348223
object,Relevant non-target,1000ms,-0.32,-0.007340677319470263,0.005112039723373646,-0.008709051053429688,-8.283381748279288e-05
object,Relevant non-target,1000ms,-0.319,0.01087008630527728,0.015422503116619987,0.009978239530678541,-0.006211509462035528
object,Relevant non-target,1000ms,-0.318,-5.0711398361985966e-05,0.006092516723952338,0.020682277123629977,-4.3591924128779966e-05
object,Relevant non-target,1000ms,-0.317,-0.0043038288842674145,-0.01046300279379936,0.011159921770230542,0.0037102762207015232
object,Relevant non-target,1000ms,-0.316,-0.00579557759967688,-0.005722374322386904,0.0028883131274475083,0.0041367903284724745
object,Relevant non-target,1000ms,-0.315,-0.01619723177473745,0.01342818059247674,-0.01825938818183185,-0.0006741417162662238
object,Relevant non-target,1000ms,-0.314,-0.008072722039827571,0.017092864151033563,-0.022907400070948148,4.1277520205600924e-05
object,Relevant non-target,1000ms,-0.313,0.004570882553991742,0.0010372297484226138,-0.013167575876891689,-0.0006278245620424892
object,Relevant non-target,1000ms,-0.312,-0.009783278800032704,0.014223733456512372,-0.003132462410039176,-0.0004972608086950198
object,Relevant non-target,1000ms,-0.311,-0.005779807126304979,0.011234122018369779,0.00891341306253271,-0.002205063750581915
object,Relevant non-target,1000ms,-0.31,0.007557619518582189,-0.009784908266857524,0.01054271784180594,-0.018833047666555316
object,Relevant non-target,1000ms,-0.309,0.007161912716000117,0.004294601057887571,0.018090929511390248,-0.014233242106907488
object,Relevant non-target,1000ms,-0.308,-0.002870198277763607,-0.000561846067831461,0.009816070475177054,0.00590926460411672
object,Relevant non-target,1000ms,-0.307,0.0033771327496358006,-0.021313692054623738,0.0016966641757589658,-0.001646824142158082
object,Relevant non-target,1000ms,-0.306,0.022306526426763028,-0.027119927316875066,-0.0005214324499446352,-0.008317897274171622
object,Relevant non-target,1000ms,-0.305,0.005590577751907646,-0.010528188219672987,-0.006923642843809153,-0.011101590280130377
object,Relevant non-target,1000ms,-0.304,-0.002629979569924497,0.010523719996380887,0.0016626768702263281,-0.004797851228581978
object,Relevant non-target,1000ms,-0.303,0.001499259653500953,-0.0028098009815047294,0.003908855131231653,0.0026374507778458805
object,Relevant non-target,1000ms,-0.302,-0.0178584094680818,-0.015729414803964864,0.005325293531277864,0.002015144935080208
object,Relevant non-target,1000ms,-0.301,-0.03376624334718651,-0.0012489719714236505,-0.0023867686481413917,-0.0039245029552135
object,Relevant non-target,1000ms,-0.3,-0.03369366180316936,-0.013211246594098763,-0.008897652348122495,-0.010632285458136714
object,Relevant non-target,1000ms,-0.299,-0.025475664135228854,-0.03542210898999643,-0.006396078604018041,-0.01203407506448385
object,Relevant non-target,1000ms,-0.298,-0.028559690962408815,-0.007012643859501637,-0.007389837432291286,-0.008603636683340857
object,Relevant non-target,1000ms,-0.297,-0.0343598461398494,0.007545047694483937,0.00601939625913458,-0.004337236223593115
object,Relevant non-target,1000ms,-0.296,-0.027965744425629532,-0.0076607952911639495,-0.001210384681186254,-0.007025955708709174
object,Relevant non-target,1000ms,-0.295,-0.02624889633535934,0.0014138386718428463,-0.020270209906601104,-0.01348038465378668
object,Relevant non-target,1000ms,-0.294,-0.017296215940965493,0.020353375765905696,-0.010019146937304275,-0.012667075671966246
object,Relevant non-target,1000ms,-0.293,-0.03231489635942371,-0.0008254654101431212,-0.00042437243574172234,0.002514173842273041
object,Relevant non-target,1000ms,-0.292,-0.017321165698133648,-0.028621559528684896,-0.0016313371339551517,0.004840672495616437
object,Relevant non-target,1000ms,-0.291,0.006153517770471556,-0.009295117760488705,0.0034212276838045817,-0.001424687823027655
object,Relevant non-target,1000ms,-0.29,-0.01947797512743922,0.00457384318591408,0.0019930977551102444,-0.0019956872016736755
object,Relevant non-target,1000ms,-0.289,-0.03790824412774046,0.007452005089902861,-0.011089466442379674,-0.0007949982688594247
object,Relevant non-target,1000ms,-0.288,-0.03305475285429586,0.021875498786176232,-0.017294417225166735,-0.0076231110506275335
object,Relevant non-target,1000ms,-0.287,-0.03234746114729726,0.010192280410682236,-0.0072764362465485705,-0.01227033004278059
object,Relevant non-target,1000ms,-0.286,-0.03632030154577185,-0.002666588243244343,0.003299741127635374,-0.007130182174505936
object,Relevant non-target,1000ms,-0.285,-0.04631243925641109,0.000597927671869551,0.0026811954923630687,-0.0036526932889585527
object,Relevant non-target,1000ms,-0.284,-0.03905310531437127,-0.0024240313202975763,0.0073453763610361,-0.002846712394633517
object,Relevant non-target,1000ms,-0.283,-0.03339419914022074,-0.015194750017590694,0.02102429146124979,-0.003803733498727609
object,Relevant non-target,1000ms,-0.282,-0.03881581989317565,-0.003411001765241286,0.017299959037602126,-0.005155879119952557
object,Relevant non-target,1000ms,-0.281,-0.03766306576832089,-0.01236097780565791,0.006683548467643625,-0.005583777192238005
object,Relevant non-target,1000ms,-0.28,-0.026573627579344953,-0.03373448389185761,-0.0004753566219201799,-0.007576342103479562
object,Relevant non-target,1000ms,-0.279,-0.0224384526963603,-0.02833470014187893,0.0029765828873885344,-0.011615592780735132
object,Relevant non-target,1000ms,-0.278,-0.04043526857426134,-0.016906975294019418,0.013524435782601324,0.00485208526758739
object,Relevant non-target,1000ms,-0.277,-0.06490905826240491,-0.026794789319361578,0.009907153710928355,0.013221614068845025
object,Relevant non-target,1000ms,-0.276,-0.035867538656181294,-0.03119379424946015,0.010066730713318145,-0.012255027155521254
object,Relevant non-target,1000ms,-0.275,-0.027541024913332667,-0.02616911050436984,0.020404859455948107,-0.010951307166293452
object,Relevant non-target,1000ms,-0.274,-0.043747061826988044,-0.011994805024188697,0.021800407006289674,0.007021072397620909
object,Relevant non-target,1000ms,-0.273,-0.03828315932002313,0.008879040749386526,0.006488016828304726,-0.0038193102817952337
object,Relevant non-target,1000ms,-0.272,-0.03281111596885316,-0.0024003073761354886,-0.013621059097422514,-0.00791445273153984
object,Relevant non-target,1000ms,-0.271,-0.04621835427615946,-0.04076198277486131,0.006619542794262721,0.008621239153166517
object,Relevant non-target,1000ms,-0.27,-0.047949809656599465,-0.029277026452918856,0.02564956817121626,0.0070384343650752084
object,Relevant non-target,1000ms,-0.269,-0.03916062319260903,-0.0035401502037979466,0.014384231941116947,-0.015502223296620045
object,Relevant non-target,1000ms,-0.268,-0.03177749356342655,-0.009602799121156583,0.005099711404673219,-0.017539264054613625
object,Relevant non-target,1000ms,-0.267,-0.017904394875199472,-0.0025122597795956634,-0.003677364020763692,-0.016303976863153713
object,Relevant non-target,1000ms,-0.266,-0.012739300270152432,0.004265053938751684,-0.004244394230773938,-0.01701846121162126
object,Relevant non-target,1000ms,-0.265,-0.030989131553234683,-0.024745804912886898,0.0051069070930355506,-0.008788964804940746
object,Relevant non-target,1000ms,-0.264,-0.035519745624642225,-0.03694349054836239,0.010276920481250756,-0.013146213248713512
object,Relevant non-target,1000ms,-0.263,-0.027417148797935036,-0.03268281591502801,0.007253271359042343,-0.012131499837795481
object,Relevant non-target,1000ms,-0.262,-0.013345846921643994,-0.029263117147344753,-0.0026294980961172735,-0.0014008099199750172
object,Relevant non-target,1000ms,-0.261,-0.0031894368407607556,-0.02872873375254533,-0.0017672705395216516,-0.014792752593870508
object,Relevant non-target,1000ms,-0.26,-0.017580864537625012,-0.03109077576195855,0.009616858752091848,-0.013472635786391402
object,Relevant non-target,1000ms,-0.259,-0.025540909925725514,-0.025492274497012923,0.02468352618611062,-0.000589477478968945
object,Relevant non-target,1000ms,-0.258,-0.009268564094960397,-0.025368686878230202,0.017252041576789112,0.0002794073971931131
object,Relevant non-target,1000ms,-0.257,0.016368670798606943,-0.01262317697572717,-0.0019109791981505137,-0.0078691038978553
object,Relevant non-target,1000ms,-0.256,0.0021770202721568665,0.008918870815334554,-0.002686038159706329,-0.0026774975737028166
object,Relevant non-target,1000ms,-0.255,-0.007460067676693387,-0.012451451398343878,0.0032180592734672173,0.010003084830461778
object,Relevant non-target,1000ms,-0.254,-0.004766644968312579,-0.029336717746321295,2.6012211003745486e-05,0.01618058644030931
object,Relevant non-target,1000ms,-0.253,-0.007009285242812558,-0.021930506897633557,0.007053383817044714,0.011718791943569713
object,Relevant non-target,1000ms,-0.252,0.010361822891094958,-0.012169270680904743,-0.0036251140590703858,0.0042095181790223575
object,Relevant non-target,1000ms,-0.251,0.008015341467437638,-0.014493387701908854,-0.017763024398082854,-0.00017649243786380624
object,Relevant non-target,1000ms,-0.25,0.01633558829414511,0.003910299833148156,-0.004083934832353065,0.0027053594274114687
object,Relevant non-target,1000ms,-0.249,0.027913566181333616,0.0045012686836587565,0.0019981843398843174,0.009625538130282009
object,Relevant non-target,1000ms,-0.248,0.021824598724587238,-0.01958936501138903,-0.006466987477079505,0.006546526922599659
object,Relevant non-target,1000ms,-0.247,0.014036069002216763,-0.021434158207860602,-0.010602684100221981,0.008248456002080762
object,Relevant non-target,1000ms,-0.246,0.03299765539953147,-0.0013252525919463592,-0.009797941376725825,0.012184603600518418
object,Relevant non-target,1000ms,-0.245,0.04079718785382623,0.0016610966586639271,0.0017518536970613653,0.0088833616465107
object,Relevant non-target,1000ms,-0.244,-0.007788642876932242,0.0012023335452768537,0.013592213061723896,0.019516760424486287
object,Relevant non-target,1000ms,-0.243,-0.02448802971128216,-0.0008294642176758908,0.0035159061412608225,0.01769636037942555
object,Relevant non-target,1000ms,-0.242,0.00037858106370248313,-0.018622625485705247,-0.0029377959324236634,0.01112240777477665
object,Relevant non-target,1000ms,-0.241,0.006860120449795786,-0.011285894426440776,0.009564802575079401,0.014261726019386734
object,Relevant non-target,1000ms,-0.24,0.027821688559455108,0.00998224911406463,0.01685171008657785,0.0012121591350052602
object,Relevant non-target,1000ms,-0.239,0.013377769162210666,-0.0037846966803650596,0.015872402924929398,-0.00722440217588306
object,Relevant non-target,1000ms,-0.238,-0.0010946719821945273,-0.018759037299667602,0.011680122870378834,0.006654586128395537
object,Relevant non-target,1000ms,-0.237,0.03417709087669383,-0.010814573738443882,-0.007716163703109437,0.005953675721445971
object,Relevant non-target,1000ms,-0.236,0.03778781981363412,-0.005866017835855505,-0.014126181124613531,0.0032770789846495404
object,Relevant non-target,1000ms,-0.235,0.003715913457179098,-0.010173919485898415,-0.011338086009268725,0.006953932160671005
object,Relevant non-target,1000ms,-0.2339999999999999,0.014485385998998627,-0.001964298209674221,-0.01888992469241731,0.006776301932224934
object,Relevant non-target,1000ms,-0.2329999999999999,0.03802482803602911,-0.006546132761784983,-0.019581367323266315,0.006219126470647005
object,Relevant non-target,1000ms,-0.2319999999999999,0.026788163766302452,-0.005731511776058857,-0.009591468143933437,0.006820528114004153
object,Relevant non-target,1000ms,-0.2309999999999999,0.013431025348335807,0.00819624714935801,-0.008524700812502091,0.0015683393084860075
object,Relevant non-target,1000ms,-0.2299999999999999,-0.005431827149305389,0.01919504018142034,-0.013003886749573023,0.0030450621342428355
object,Relevant non-target,1000ms,-0.2289999999999999,0.00152879675417568,0.02552469930001124,-0.00471180904104744,0.0013205979710350668
object,Relevant non-target,1000ms,-0.2279999999999999,0.011313465890828064,0.02182769389132225,-0.004183474495428214,0.0012850934811450632
object,Relevant non-target,1000ms,-0.2269999999999999,0.01619258306261386,0.03569677432879085,-0.012983106376551142,-0.0023888474940742016
object,Relevant non-target,1000ms,-0.2259999999999999,0.0313423902793157,0.048220416077990026,-0.014079349076701612,-0.0013397614513111257
object,Relevant non-target,1000ms,-0.2249999999999999,0.031122145209905604,0.020047515034595384,-0.0037786873760497,0.00026397680938773687
object,Relevant non-target,1000ms,-0.2239999999999999,0.0006937354122227587,0.004750296327049491,0.0009771076254263037,0.0026957690486210605
object,Relevant non-target,1000ms,-0.2229999999999999,-0.0006184322375248544,0.002749503876725593,-0.005563934131323008,0.012460092236029969
object,Relevant non-target,1000ms,-0.2219999999999999,0.015918911104472015,0.008961366692231847,-0.007097249481077903,0.008238928297284152
object,Relevant non-target,1000ms,-0.2209999999999999,0.012215892203728512,0.016136698705089603,-0.013313412933586592,-0.003673314625802807
object,Relevant non-target,1000ms,-0.2199999999999999,0.017637005831852515,0.02238661407009253,-0.006988700555526677,-0.00212802838105448
object,Relevant non-target,1000ms,-0.2189999999999999,0.014086116956936172,0.009075853202515135,0.0039444410773243855,-0.0011937860008195435
object,Relevant non-target,1000ms,-0.2179999999999999,-0.023903635439703565,0.0008608534098467791,0.0006661043252703026,-0.0036166055160466106
object,Relevant non-target,1000ms,-0.2169999999999999,-0.038696024882357696,0.011167569590506608,-0.005674770956705068,0.0042573543662736595
object,Relevant non-target,1000ms,-0.2159999999999999,-0.02344203609726853,-0.011034830041274384,-0.008855920987771822,0.018123845007693158
object,Relevant non-target,1000ms,-0.2149999999999999,-0.023652845386812442,-0.013675207612441972,-0.003954134024730202,0.009096619288933275
object,Relevant non-target,1000ms,-0.2139999999999999,-0.019170966088783332,0.022651555343779183,-0.0038082066022910753,0.0021540949052157245
object,Relevant non-target,1000ms,-0.2129999999999999,0.003934531982668609,0.015723263799827192,0.0006372570621564859,0.008049526703231238
object,Relevant non-target,1000ms,-0.2119999999999999,0.009313283489057222,-0.018253143503690724,0.014346858666752506,0.012650284718965865
object,Relevant non-target,1000ms,-0.211,-0.004256862622616837,0.008589150273980505,0.010159222779567897,0.0034217190447275916
object,Relevant non-target,1000ms,-0.21,0.010610152102950085,0.030916608409922844,0.005458495858084005,-0.008614794162839954
object,Relevant non-target,1000ms,-0.209,0.01355659332686558,0.015476943769669625,0.0055328707856446575,-0.010516723141218645
object,Relevant non-target,1000ms,-0.208,0.010532913269020953,-0.00020085361655392483,0.010519468241875505,-0.006331860583880543
object,Relevant non-target,1000ms,-0.207,-0.005752237199069253,0.008124331452499129,0.01677265025111661,0.010384261057563548
object,Relevant non-target,1000ms,-0.206,-0.016733573897522284,0.012056555336891431,-0.004758218393434742,0.0037484430314102123
object,Relevant non-target,1000ms,-0.205,-0.01419254823747373,-0.005678371475076457,-0.013751838049357463,-0.015301120214260508
object,Relevant non-target,1000ms,-0.204,-0.0006899986567448463,-0.00509659579706808,0.011632620452446485,-0.016869732416310117
object,Relevant non-target,1000ms,-0.203,0.0035172459954659683,0.003652504832208905,0.013339922077205543,-0.006077350891313475
object,Relevant non-target,1000ms,-0.202,-0.008578735905232454,0.011196165431648109,-0.004908501222444863,-0.0034086383122227787
object,Relevant non-target,1000ms,-0.201,-0.025950490897887653,0.019595545430479148,0.0023056694583103335,-0.011624764333711318
object,Relevant non-target,1000ms,-0.2,-0.04004011028499135,0.029174683133653807,0.0010067662919889021,-0.008370082632996345
object,Relevant non-target,1000ms,-0.199,-0.011257022396356526,0.01133148320500026,-0.008935510403492731,-0.008119975658290906
object,Relevant non-target,1000ms,-0.198,0.006603817024750809,-0.02411024619586645,-0.01320131671788422,-0.005128204064849886
object,Relevant non-target,1000ms,-0.197,-0.011130195822826528,-0.031744603278172905,-0.0043092973544591115,-0.007271047054984457
object,Relevant non-target,1000ms,-0.196,-0.001204151232574756,-0.009571830608452339,0.01245053519841676,-0.006451585667944344
object,Relevant non-target,1000ms,-0.195,0.0029678878906301887,-0.00036072411872680295,0.019646807017815536,-0.0032436006598759335
object,Relevant non-target,1000ms,-0.194,0.0013010678866243516,-0.010261013025180834,0.0167056244529961,-0.00626303478902964
object,Relevant non-target,1000ms,-0.193,0.02191666485344819,-0.006268580731653812,0.011218150405743083,-0.008801827387639592
object,Relevant non-target,1000ms,-0.192,0.015779928624813155,0.003789936712540216,0.008122355180504602,-0.010084133670829614
object,Relevant non-target,1000ms,-0.191,0.003588096419624886,0.008031266237382782,0.010413576326554775,-0.021631209924715202
object,Relevant non-target,1000ms,-0.19,0.0020260755065523973,0.01196479153147322,0.005118147447157781,-0.02453329783821001
object,Relevant non-target,1000ms,-0.189,-0.014062397859803817,-0.005820019671822675,-0.00733700693916454,-0.0010414294292317887
object,Relevant non-target,1000ms,-0.188,-0.007281455240527278,-0.011433728133837598,-0.004253048555980914,0.0024193712050069745
