Max_Time,Model,Stim,Max_Value,Noise
121,IIT,On,7.758934362784529,0.5
196,IIT,On,8.518440833691791,0.5
138,IIT,On,9.553125078097525,0.5
152,IIT,On,10.638959369329548,0.5
147,IIT,On,10.83368553837933,0.5
142,IIT,On,8.134768777125394,0.5
144,IIT,On,6.812787576604186,0.5
98,IIT,On,8.062020225051375,0.5
129,IIT,On,8.270022257662745,0.5
113,IIT,On,7.808698149921644,0.5
173,IIT,On,8.261461304853079,0.5
175,IIT,On,6.3502974411924855,0.5
217,IIT,On,7.863167050899626,0.5
145,IIT,On,8.657329036687074,0.5
151,IIT,On,10.777055413276837,0.5
157,IIT,On,6.947321116761304,0.5
152,IIT,On,7.046611395609309,0.5
190,IIT,On,6.876796035089689,0.5
111,IIT,On,8.06442221627839,0.5
182,IIT,On,8.418981843311224,0.5
178,IIT,On,6.466993663526537,0.5
133,IIT,On,11.209737655313134,0.5
166,IIT,On,8.768553991666272,0.5
128,IIT,On,8.037048203636692,0.5
179,IIT,On,8.100898123377908,0.5
136,IIT,On,6.710089647048765,0.5
118,IIT,On,7.628240128625043,0.5
144,IIT,On,7.718956765758445,0.5
214,IIT,On,6.663105709955315,0.5
97,IIT,On,7.138169473663888,0.5
146,IIT,On,7.91740258271865,0.5
140,IIT,On,7.803882326296264,0.5
135,IIT,On,7.43729715200702,0.5
144,IIT,On,7.4807333110071665,0.5
139,IIT,On,7.077240202028881,0.5
181,IIT,On,8.555607217544784,0.5
148,IIT,On,7.511880342229675,0.5
145,IIT,On,8.059528433429756,0.5
124,IIT,On,8.189669762692292,0.5
132,IIT,On,9.264255512154051,0.5
161,IIT,On,7.378310469843492,0.5
137,IIT,On,10.262586051971127,0.5
82,IIT,On,9.091028696256291,0.5
99,IIT,On,7.839710775359173,0.5
111,IIT,On,7.355732898522269,0.5
149,IIT,On,8.12062830306781,0.5
111,IIT,On,9.837132587401193,0.5
143,IIT,On,8.034018115373168,0.5
125,IIT,On,8.21548383292917,0.5
135,IIT,On,7.251197811597065,0.5
209,IIT,On,7.462672882465726,0.5
91,IIT,On,8.27694914638619,0.5
183,IIT,On,7.480988400867354,0.5
190,IIT,On,10.371831442182716,0.5
162,IIT,On,8.807180759681788,0.5
160,IIT,On,11.159792835637527,0.5
169,IIT,On,8.23373608558986,0.5
101,IIT,On,9.255183569698929,0.5
114,IIT,On,9.905551512856293,0.5
95,IIT,On,8.297510891863709,0.5
155,IIT,On,7.461949954533304,0.5
120,IIT,On,7.965459104269457,0.5
