SPI,meta_ROI_from,meta_ROI_to,stimulus_presentation,comparison,accuracy
prec_EllipticEnvelope,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5013888888888889
prec_GraphicalLassoCV,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.49861111111111106
prec-sq_MinCovDet,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5055555555555555
prec-sq_EllipticEnvelope,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5055555555555555
prec-sq_GraphicalLassoCV,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5040277777777777
prec_MinCovDet,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
mgc,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5120833333333333
dtw,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
dtw_constraint-itakura,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
dtw_constraint-sakoe-chiba,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.4916666666666667
softdtw,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
softdtw_constraint-itakura,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
softdtw_constraint-sakoe-chiba,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
bary_dtw_mean,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5225
bary_dtw_max,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5094444444444444
bary_sgddtw_mean,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.49874999999999997
bary_sgddtw_max,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.4905555555555555
bary_softdtw_mean,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.54125
bary_softdtw_max,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.4698611111111111
bary-sq_dtw_mean,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5201388888888889
bary-sq_dtw_max,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5136111111111112
bary-sq_sgddtw_mean,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5256944444444445
bary-sq_sgddtw_max,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.49749999999999994
bary-sq_softdtw_mean,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5318055555555556
bary-sq_softdtw_max,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5448611111111111
ce_kozachenko,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.48388888888888887
cce_gaussian,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5041666666666667
cce_kozachenko,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5009722222222223
cce_kernel_W-0.5,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5049999999999999
di_gaussian,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.49444444444444435
di_kozachenko,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
di_kernel_W-0.5,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
te_kraskov_NN-4_k-max-10_tau-max-4,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
te_kraskov_NN-4_DCE_k-max-10_tau-max-4,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.49861111111111106
te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.49861111111111106
te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.5
te_kernel_W-0.25_k-1,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.4959722222222222
gc_gaussian_k-max-10_tau-max-2,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.48611111111111105
te_symbolic_k-1_kt-1_l-1_lt-1,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.48611111111111105
te_symbolic_k-10_kt-1_l-1_lt-1,Category_Selective,V1_V2,off,Relevant non-target vs. Irrelevant,0.48611111111111105
cov_EmpiricalCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5337500000000001
cov_GraphicalLasso,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.533611111111111
cov_GraphicalLassoCV,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5215277777777778
cov_LedoitWolf,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5363888888888889
cov_OAS,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5377777777777778
cov_ShrunkCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5337500000000001
cov-sq_EmpiricalCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5038888888888888
cov-sq_GraphicalLasso,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5065277777777777
cov-sq_LedoitWolf,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5040277777777777
cov-sq_OAS,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5054166666666667
cov-sq_ShrunkCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5038888888888888
prec_EmpiricalCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5495833333333333
prec_GraphicalLasso,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5434722222222221
prec_LedoitWolf,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.547638888888889
prec_OAS,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.54625
prec_ShrunkCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5423611111111111
prec-sq_EmpiricalCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4916666666666666
prec-sq_GraphicalLasso,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4904166666666666
prec-sq_LedoitWolf,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48902777777777773
prec-sq_OAS,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48902777777777773
prec-sq_ShrunkCovariance,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49444444444444446
spearmanr-sq,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5159722222222223
spearmanr,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5194444444444445
kendalltau-sq,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5158333333333334
kendalltau,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5233333333333333
xcorr_max_sig-True,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5050000000000001
xcorr-sq_max_sig-True,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5280555555555555
xcorr_mean_sig-True,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5186111111111111
xcorr-sq_mean_sig-True,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5208333333333333
xcorr_mean_sig-False,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5041666666666667
xcorr-sq_mean_sig-False,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5059722222222222
pdist_euclidean,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5386111111111112
pdist_cityblock,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5419444444444443
pdist_cosine,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5379166666666666
pdist_chebyshev,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4961111111111111
pdist_canberra,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5145833333333334
pdist_braycurtis,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5315277777777778
dcorr,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5133333333333333
dcorr_biased,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5154166666666666
hsic,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5365277777777777
hsic_biased,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5263888888888888
bary_euclidean_max,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5066666666666666
bary-sq_euclidean_mean,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5354166666666667
bary-sq_euclidean_max,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48472222222222217
gwtau,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48694444444444446
anm,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48125
cds,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
reci,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49625
igci,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5016666666666666
je_gaussian,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4954166666666667
je_kozachenko,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.495
je_kernel_W-0.5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5184722222222222
ce_gaussian,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.523611111111111
ce_kernel_W-0.5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5368055555555556
xme_gaussian_k1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4884722222222222
xme_kozachenko_k1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5093055555555555
xme_kernel_W-0.5_k1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.507361111111111
xme_gaussian_k10,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
xme_kozachenko_k10,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4925
xme_kernel_W-0.5_k10,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
si_gaussian_k-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
si_kozachenko_k-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
si_kernel_W-0.5_k-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5155555555555555
mi_gaussian,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5104166666666666
mi_kraskov_NN-4,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4805555555555555
mi_kraskov_NN-4_DCE,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
mi_kernel_W-0.25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5116666666666667
tlmi_gaussian,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4997222222222222
tlmi_kraskov_NN-4,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48875
tlmi_kraskov_NN-4_DCE,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49124999999999996
tlmi_kernel_W-0.25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48083333333333333
te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5158333333333334
gc_gaussian_k-1_kt-1_l-1_lt-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5037499999999999
phase_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4880555555555556
phase_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49000000000000005
phase_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5345833333333333
phase_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
phase_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4836111111111111
phase_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49513888888888885
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4958333333333333
cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4905555555555556
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49847222222222226
cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4959722222222222
cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48125
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49124999999999996
icoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4987500000000001
icoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48319444444444437
icoh_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
icoh_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4972222222222221
icoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48611111111111105
psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49388888888888893
psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5001388888888889
psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49736111111111114
plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5027777777777779
plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49861111111111106
plv_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4947222222222222
plv_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5513888888888888
plv_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
pli_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48375
pli_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4959722222222222
pli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4880555555555556
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49319444444444444
wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4843055555555556
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49777777777777776
dspli_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4833333333333333
dspli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48263888888888895
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4923611111111111
dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4886111111111111
dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48277777777777786
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4933333333333333
ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49736111111111103
ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4959722222222222
ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49722222222222223
ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5472222222222222
ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4958333333333333
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4923611111111111
dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5015277777777778
dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49208333333333326
dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5036111111111111
dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5098611111111111
dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5127777777777778
dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5176388888888889
dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49583333333333324
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5247222222222223
dcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5247222222222223
dcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49861111111111106
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4923611111111111
pdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5015277777777778
pdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49208333333333326
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5036111111111111
pdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5098611111111111
pdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5330555555555556
gpdcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5080555555555556
gpdcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48597222222222225
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4906944444444445
gpdcoh_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5297222222222222
gpdcoh_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4847222222222222
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5040277777777777
ddtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5002777777777778
ddtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5140277777777778
ddtf_multitaper_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5140277777777778
ddtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5295833333333333
sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5134722222222223
sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49416666666666664
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5136111111111111
sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5444444444444445
sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49027777777777776
sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5111111111111111
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5006944444444444
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5083333333333333
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5031944444444444
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5020833333333333
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5090277777777777
sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4875
sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.50125
sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5052777777777777
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4970833333333332
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4958333333333333
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5256944444444445
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5034722222222221
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5034722222222221
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5102777777777778
sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5056944444444443
sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4947222222222222
sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5245833333333332
psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.4793055555555556
psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.47527777777777774
psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49027777777777776
psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49749999999999994
psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49638888888888894
psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49527777777777776
lmfit_Ridge,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5026388888888889
lmfit_Lasso,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49736111111111103
lmfit_SGDRegressor,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5026388888888889
lmfit_ElasticNet,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49736111111111103
lmfit_BayesianRidge,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5026388888888889
coint_johansen_max_eig_stat_order-0_ardiff-10,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48569444444444454
coint_johansen_trace_stat_order-0_ardiff-10,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49430555555555544
coint_johansen_max_eig_stat_order-0_ardiff-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.53125
coint_johansen_trace_stat_order-0_ardiff-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.5204166666666667
coint_johansen_max_eig_stat_order-1_ardiff-10,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.48569444444444454
coint_johansen_trace_stat_order-1_ardiff-10,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.49430555555555544
coint_johansen_max_eig_stat_order-1_ardiff-1,IPS,Category_Selective,on,Relevant non-target vs. Irrelevant,0.53125
