Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Squared,0.513296537959948,6.015151514399379,91,sub-CA113,CS_PFC_abs,Irrelevant,face,euclidean
Offset,Squared,0.49393235106707006,7.209938216550182,388,sub-CA113,CS_PFC_abs,Irrelevant,face,euclidean
Onset,Original,2.9812981920004205e-16,1.7326922328201313,311,sub-CA113,CS_VIS,Irrelevant,face,euclidean
Offset,Original,5.115907697472721e-16,1.5229120801251244,492,sub-CA113,CS_VIS,Irrelevant,face,euclidean
Onset,Squared,0.24943934701471823,3.0022223736752123,311,sub-CA113,CS_VIS,Irrelevant,face,euclidean
Offset,Squared,0.27085464835489204,2.3192612037910334,492,sub-CA113,CS_VIS,Irrelevant,face,euclidean
Onset,Original,-2.2714652891431774e-16,2.913167000180107,156,sub-CA113,CS_VIS_abs,Irrelevant,face,euclidean
Offset,Original,1.5987211554602254e-16,2.80233043950029,925,sub-CA113,CS_VIS_abs,Irrelevant,face,euclidean
Onset,Squared,0.5367255558774072,8.486541970938363,156,sub-CA113,CS_VIS_abs,Irrelevant,face,euclidean
Offset,Squared,0.4557319787051193,7.8530558921498885,925,sub-CA113,CS_VIS_abs,Irrelevant,face,euclidean
Onset,Original,0.005722152026326593,2.475213541804464,218,sub-CA113,CS_PFC,Irrelevant,face,dtw
Offset,Original,-0.005823260316248188,2.5583826677478485,51,sub-CA113,CS_PFC,Irrelevant,face,dtw
Onset,Squared,0.598880269272635,7.559024727691481,55,sub-CA113,CS_PFC,Irrelevant,face,dtw
Offset,Squared,0.5122857933093887,6.659362872998536,145,sub-CA113,CS_PFC,Irrelevant,face,dtw
Onset,Original,0.012837015877603553,3.360263664715454,217,sub-CA113,CS_PFC_abs,Irrelevant,face,dtw
Offset,Original,0.01029356535213428,3.4594013662863814,388,sub-CA113,CS_PFC_abs,Irrelevant,face,dtw
Onset,Squared,0.6381121511655319,11.291371896406933,217,sub-CA113,CS_PFC_abs,Irrelevant,face,dtw
Offset,Squared,0.6308372363570878,11.967457813064083,388,sub-CA113,CS_PFC_abs,Irrelevant,face,dtw
Onset,Original,-0.01695731029711583,2.53837490606185,146,sub-CA113,CS_VIS,Irrelevant,face,dtw
Offset,Original,0.0064114845757159596,2.44704373530685,492,sub-CA113,CS_VIS,Irrelevant,face,dtw
Onset,Squared,0.3414868085660336,6.590858104067022,113,sub-CA113,CS_VIS,Irrelevant,face,dtw
Offset,Squared,0.41698050082044663,5.9880230425045005,492,sub-CA113,CS_VIS,Irrelevant,face,dtw
Onset,Original,0.007314954888453425,3.1022808270881543,156,sub-CA113,CS_VIS_abs,Irrelevant,face,dtw
Offset,Original,0.011892273169799536,3.287956665996019,51,sub-CA113,CS_VIS_abs,Irrelevant,face,dtw
Onset,Squared,0.6132083677003147,9.624146330118762,156,sub-CA113,CS_VIS_abs,Irrelevant,face,dtw
Offset,Squared,0.6036164429744709,10.810659037467657,51,sub-CA113,CS_VIS_abs,Irrelevant,face,dtw
Onset,Original,-3.6911310948576635e-16,2.7291377221780095,231,sub-CA113,CS_PFC,Relevant non-target,face,euclidean
Offset,Original,1.6342482922482304e-16,2.8343370425280665,853,sub-CA113,CS_PFC,Relevant non-target,face,euclidean
Onset,Squared,0.5964963366480955,7.448192706614974,231,sub-CA113,CS_PFC,Relevant non-target,face,euclidean
Offset,Squared,0.539312690425513,8.033466470646747,853,sub-CA113,CS_PFC,Relevant non-target,face,euclidean
Onset,Original,-3.407197933714766e-16,3.4144616491745543,231,sub-CA113,CS_PFC_abs,Relevant non-target,face,euclidean
Offset,Original,-3.552713678800501e-18,3.6950605795119884,359,sub-CA113,CS_PFC_abs,Relevant non-target,face,euclidean
Onset,Squared,0.4871359080174097,11.658548353683818,231,sub-CA113,CS_PFC_abs,Relevant non-target,face,euclidean
Offset,Squared,0.5040206943144561,13.653472686263472,359,sub-CA113,CS_PFC_abs,Relevant non-target,face,euclidean
Onset,Original,2.892569079143265e-16,1.8383171936747953,58,sub-CA113,CS_VIS,Relevant non-target,face,euclidean
Offset,Original,4.760636329592672e-16,1.6864187395215722,385,sub-CA113,CS_VIS,Relevant non-target,face,euclidean
Onset,Squared,0.31375361538774316,3.3794101045603746,58,sub-CA113,CS_VIS,Relevant non-target,face,euclidean
Offset,Squared,0.3020444065884998,3.8552994855525355,346,sub-CA113,CS_VIS,Relevant non-target,face,euclidean
